Sample alias," ""First Fastq File"""," ""First Checksum"""," ""First Unencrypted checksum"""," ""Second Fastq File"""," ""Second Checksum"""," ""Second Unencrypted checksum"""
run9_S60,run9_60_S60_L001_R1_001.fastq.gz,,,run9_60_S60_L001_R2_001.fastq.gz,,
run2_S2201,run2_2201_S2201_L001_R1_001.fastq.gz,,,run2_2201_S2201_L001_R2_001.fastq.gz,,
run8_S15,run8_15_S15_L001_R1_001.fastq.gz,,,run8_15_S15_L001_R2_001.fastq.gz,,
run7_S36,run7_36_S36_L001_R1_001.fastq.gz,,,run7_36_S36_L001_R2_001.fastq.gz,,
run7_S94,run7_94_S94_L001_R1_001.fastq.gz,,,run7_94_S94_L001_R2_001.fastq.gz,,
run4_S63,run4_63_S63_L001_R1_001.fastq.gz,,,run4_63_S63_L001_R2_001.fastq.gz,,
run8_S16,run8_16_S16_L001_R1_001.fastq.gz,,,run8_16_S16_L001_R2_001.fastq.gz,,
run9_S15,run9_15_S15_L001_R1_001.fastq.gz,,,run9_15_S15_L001_R2_001.fastq.gz,,
run1_S67,run1_67_S67_L001_R1_001.fastq.gz,,,run1_67_S67_L001_R2_001.fastq.gz,,
run4_S1263,run4_1263_S1263_L001_R1_001.fastq.gz,,,run4_1263_S1263_L001_R2_001.fastq.gz,,
run7_S2201,run7_2201_S2201_L001_R1_001.fastq.gz,,,run7_2201_S2201_L001_R2_001.fastq.gz,,
run1_S57,run1_57_S57_L001_R1_001.fastq.gz,,,run1_57_S57_L001_R2_001.fastq.gz,,
run1_S24,run1_24_S24_L001_R1_001.fastq.gz,,,run1_24_S24_L001_R2_001.fastq.gz,,
run7_S55,run7_55_S55_L001_R1_001.fastq.gz,,,run7_55_S55_L001_R2_001.fastq.gz,,
run7_S74,run7_74_S74_L001_R1_001.fastq.gz,,,run7_74_S74_L001_R2_001.fastq.gz,,
run2_S70,run2_70_S70_L001_R1_001.fastq.gz,,,run2_70_S70_L001_R2_001.fastq.gz,,
run8_S1484,run8_1484_S1484_L001_R1_001.fastq.gz,,,run8_1484_S1484_L001_R2_001.fastq.gz,,
